Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2010,Kansas City Royals,AL,31,0.414,0,14,0.519,1127,204,344,73,21,22,197,93,194,16,10,0.305,0.363,0.466,0.829
2010,Detroit Tigers,AL,32,0.5,0,18,0.6,1126,186,329,75,7,35,172,111,201,17,6,0.292,0.361,0.464,0.825
2010,Boston Red Sox,AL,32,0.549,0,17,0.548,1118,175,325,76,9,26,171,99,203,7,2,0.291,0.351,0.445,0.796
2010,Arizona Diamondbacks,NL,33,0.401,0,15,0.469,1124,178,326,72,7,37,169,101,201,19,11,0.29,0.354,0.465,0.819
2010,Atlanta Braves,NL,30,0.562,1,17,0.586,1037,164,300,56,2,20,152,139,178,16,7,0.289,0.377,0.405,0.782
2010,Tampa Bay Rays,AL,30,0.593,1,20,0.714,1067,194,308,71,10,37,178,111,202,27,10,0.289,0.354,0.478,0.832
2010,Florida Marlins,NL,29,0.494,0,14,0.5,1027,148,296,71,10,17,135,79,209,18,7,0.288,0.341,0.426,0.767
2010,Texas Rangers,AL,30,0.556,1,10,0.345,1067,153,307,70,7,20,145,88,226,18,10,0.288,0.349,0.423,0.772
2010,Houston Astros,NL,30,0.469,0,13,0.464,1065,158,303,83,8,29,152,78,178,21,4,0.285,0.337,0.459,0.796
2010,Toronto Blue Jays,AL,27,0.525,0,12,0.48,976,149,277,66,4,31,142,85,181,23,6,0.284,0.342,0.455,0.797
2010,San Diego Padres,NL,30,0.556,0,18,0.643,1065,188,302,65,18,19,171,109,196,50,16,0.284,0.356,0.432,0.788
2010,Cleveland Indians,AL,31,0.426,0,19,0.679,1066,199,299,71,11,24,188,138,197,22,6,0.28,0.362,0.435,0.798
2010,St. Louis Cardinals,NL,29,0.531,0,15,0.517,1017,165,285,75,6,31,153,101,171,25,6,0.28,0.352,0.457,0.81
2010,San Francisco Giants,NL,35,0.568,1,23,0.657,1207,179,335,74,14,28,172,91,209,23,10,0.278,0.332,0.432,0.764
2010,Minnesota Twins,AL,30,0.58,1,16,0.533,1027,150,285,65,7,30,140,87,195,9,4,0.278,0.337,0.442,0.78
2010,Chicago Cubs,NL,33,0.463,0,18,0.6,1113,166,308,72,10,24,160,101,220,17,13,0.277,0.341,0.424,0.765
2010,Chicago White Sox,AL,33,0.543,0,12,0.429,1176,172,325,62,10,25,159,103,200,39,11,0.276,0.342,0.41,0.751
2010,Los Angeles Angels,AL,32,0.494,0,13,0.464,1093,177,299,69,16,27,167,121,220,37,12,0.274,0.345,0.44,0.786
2010,New York Mets,NL,31,0.488,0,14,0.467,1061,170,288,60,6,39,155,104,202,20,4,0.271,0.34,0.45,0.789
2010,New York Yankees,AL,29,0.586,1,13,0.464,1004,130,270,57,8,23,123,77,208,15,7,0.269,0.331,0.41,0.741
2010,Philadelphia Phillies,NL,28,0.599,1,15,0.556,958,116,256,63,2,31,112,85,190,14,4,0.267,0.329,0.434,0.763
2010,Milwaukee Brewers,NL,32,0.475,0,16,0.533,1078,172,287,68,7,27,157,109,233,37,10,0.266,0.34,0.417,0.757
2010,Baltimore Orioles,AL,30,0.407,0,12,0.414,1027,136,272,51,6,33,128,84,193,15,8,0.265,0.325,0.423,0.747
2010,Seattle Mariners,AL,32,0.377,0,12,0.4,1091,149,288,68,13,23,138,111,197,34,17,0.264,0.336,0.413,0.749
2010,Washington Nationals,NL,30,0.426,0,10,0.333,1027,154,271,58,7,23,145,95,216,42,10,0.264,0.33,0.401,0.731
2010,Los Angeles Dodgers,NL,30,0.494,0,11,0.393,1004,119,264,46,7,20,111,107,201,10,12,0.263,0.335,0.382,0.718
